        Rank         Score    Variable
      335.00     4.05845E-01  X774
      336.00     4.05102E-01  X430
      337.00     4.02377E-01  X188
      338.00     3.97647E-01  X797
      339.00     3.96977E-01  X456
      340.00     3.95790E-01  X402
      341.00     3.95681E-01  X471
      342.00     3.93614E-01  X247
      343.00     3.93374E-01  X41
      344.00     3.93282E-01  X734
      345.00     3.93243E-01  X454
      346.00     3.92355E-01  X33
      347.00     3.90690E-01  X610
      348.00     3.90336E-01  X833
      349.00     3.90021E-01  X519
      350.00     3.89734E-01  X894
      351.00     3.89489E-01  X835
      352.00     3.89133E-01  X630
      353.00     3.88656E-01  X71
      354.00     3.85983E-01  X939
      355.00     3.84844E-01  X101
      356.00     3.84434E-01  X435
      357.00     3.80314E-01  X118
      358.00     3.79889E-01  X562
      359.00     3.79676E-01  X594
      360.00     3.79087E-01  X577
      361.00     3.78995E-01  X589
      362.00     3.78759E-01  X910
      363.00     3.77508E-01  X906
      364.00     3.76954E-01  X334
      365.00     3.75626E-01  X251
      366.00     3.75168E-01  X288
      367.00     3.73348E-01  X772
      368.00     3.73086E-01  X679
      369.00     3.72884E-01  X641
      370.00     3.72665E-01  X264
      371.00     3.72622E-01  X792
      372.00     3.72387E-01  X900
      373.00     3.71931E-01  X244
      374.00     3.70641E-01  X628
      375.00     3.69461E-01  X178
      376.00     3.68103E-01  X204
      377.00     3.67190E-01  X94
      378.00     3.67164E-01  X327
      379.00     3.64759E-01  X739
      380.00     3.64521E-01  X514
      381.00     3.62905E-01  X954
      382.00     3.62849E-01  X208
      383.00     3.62675E-01  X588
      384.00     3.62118E-01  X270
      385.00     3.61125E-01  X239
      386.00     3.60022E-01  X537
      387.00     3.57336E-01  X491
      388.00     3.57286E-01  X785
      389.00     3.53941E-01  X895
      390.00     3.52955E-01  X70
      391.00     3.50055E-01  X483
      392.00     3.49842E-01  X530
      393.00     3.49397E-01  X75
      394.00     3.48916E-01  X466
      395.00     3.48913E-01  X231
      396.00     3.48336E-01  X489
      397.00     3.48242E-01  X633
      398.00     3.48109E-01  X920
      399.00     3.47814E-01  X542
      400.00     3.45730E-01  X822
      401.00     3.44970E-01  X73
      402.00     3.41629E-01  X930
      403.00     3.41111E-01  X572
      404.00     3.40807E-01  X487
      405.00     3.40485E-01  X629
      406.00     3.40429E-01  X962
      407.00     3.40420E-01  X175
      408.00     3.39734E-01  X907
      409.00     3.39661E-01  scoliosis_slope
      410.00     3.39562E-01  X815
      411.00     3.38604E-01  X780
      412.00     3.36981E-01  X896
      413.00     3.36839E-01  X949
      414.00     3.36783E-01  X617
      415.00     3.36639E-01  X500
      416.00     3.36624E-01  X820
      417.00     3.35743E-01  X866
      418.00     3.35496E-01  X499
      419.00     3.33107E-01  X350
      420.00     3.32129E-01  X601
      421.00     3.31375E-01  X504
      422.00     3.30649E-01  X25
      423.00     3.29822E-01  X647
      424.00     3.28566E-01  X745
      425.00     3.28482E-01  X521
      426.00     3.27207E-01  X281
      427.00     3.26951E-01  X602
      428.00     3.26809E-01  X971
      429.00     3.26644E-01  X725
      430.00     3.25181E-01  X638
      431.00     3.24511E-01  X323
      432.00     3.21537E-01  X158
      433.00     3.21061E-01  X444
      434.00     3.19267E-01  X228
      435.00     3.18790E-01  X957
      436.00     3.18149E-01  X369
      437.00     3.17407E-01  X743
      438.00     3.17162E-01  X536
      439.00     3.16495E-01  X181
      440.00     3.15108E-01  X361
      441.00     3.14707E-01  X266
      442.00     3.14307E-01  X606
      443.00     3.13527E-01  X635
      444.00     3.13156E-01  X420
      445.00     3.13150E-01  X958
      446.00     3.12054E-01  X757
      447.00     3.11680E-01  X584
      448.00     3.10890E-01  X581
      449.00     3.10417E-01  X299
      450.00     3.10041E-01  X139
      451.00     3.08294E-01  X199
      452.00     3.08086E-01  X951
      453.00     3.07011E-01  X106
      454.00     3.06206E-01  X45
      455.00     3.05504E-01  X619
      456.00     3.05161E-01  X29
      457.00     3.04122E-01  X788
      458.00     3.04054E-01  X660
      459.00     3.03992E-01  X710
      460.00     3.03765E-01  X570
      461.00     3.02398E-01  X6
      462.00     3.00869E-01  X982
      463.00     3.00430E-01  X429
      464.00     3.00142E-01  X385
      465.00     2.99936E-01  X230
      466.00     2.99464E-01  X719
      467.00     2.98596E-01  X76
      468.00     2.97954E-01  X467
      469.00     2.97559E-01  X418
      470.00     2.97492E-01  X479
      471.00     2.95812E-01  X352
      472.00     2.95236E-01  X790
      473.00     2.94860E-01  X966
      474.00     2.93346E-01  X671
      475.00     2.92597E-01  X103
      476.00     2.92282E-01  X897
      477.00     2.92192E-01  X265
      478.00     2.91703E-01  X63
      479.00     2.91505E-01  X169
      480.00     2.91260E-01  X74
      481.00     2.91179E-01  X235
      482.00     2.90052E-01  X557
      483.00     2.89038E-01  X7
      484.00     2.88935E-01  X599
      485.00     2.87701E-01  X511
      486.00     2.87514E-01  X340
      487.00     2.86859E-01  X624
      488.00     2.86414E-01  X210
      489.00     2.84543E-01  X179
      490.00     2.84063E-01  X384
      491.00     2.83997E-01  X88
      492.00     2.83627E-01  X969
      493.00     2.83453E-01  X447
      494.00     2.83329E-01  X914
      495.00     2.83280E-01  X625
      496.00     2.82641E-01  X79
      497.00     2.81462E-01  X303
      498.00     2.81417E-01  X854
      499.00     2.79030E-01  X984
      500.00     2.78687E-01  X506
      501.00     2.78425E-01  X280
      502.00     2.78162E-01  X432
